Year,Trade Flow,Reporter,exportLat,exportLong,Partner,importLat,importLong,Commodity,Qty Unit,Qty,Netweight (kg),Trade Value (US$)
2016,Export,USA,37.09024,-95.712891,Jordan,31.6732,36.31298,"Waste, parings and scrap, of plastics",Weight in kilograms,9023,9023,48544
2016,Export,USA,37.09024,-95.712891,Mauritania,21.00789,-10.940835,"Waste, parings and scrap, of plastics",Weight in kilograms,8881,8881,40726
2016,Re-Export,USA,37.09024,-95.712891,Mauritania,21.00789,-10.940835,"Waste, parings and scrap, of plastics",Weight in kilograms,8881,8881,40726
2016,Export,USA,37.09024,-95.712891,Denmark,56.26392,9.501785,"Waste, parings and scrap, of plastics",Weight in kilograms,7983,7983,15840
2016,Export,USA,37.09024,-95.712891,Yemen,15.552727,48.516388,"Waste, parings and scrap, of plastics",Weight in kilograms,7000,7000,12000
2016,Re-Export,USA,37.09024,-95.712891,El Salvador,13.794185,-88.89653,"Waste, parings and scrap, of plastics",Weight in kilograms,6975,6975,12694
2016,Export,USA,37.09024,-95.712891,Bahrain,26.0667,50.5577,"Waste, parings and scrap, of plastics",Weight in kilograms,5346,5346,51614
2016,Import,USA,37.09024,-95.712891,Malta,35.937496,14.375416,"Waste, parings and scrap, of plastics",Weight in kilograms,4741,4741,517
2016,Export,USA,37.09024,-95.712891,Bermuda,32.3078,-64.7505,"Waste, parings and scrap, of plastics",Weight in kilograms,4601,4601,25600
2016,Export,USA,37.09024,-95.712891,Saint Kitts and Nevis,17.357822,-62.782998,"Waste, parings and scrap, of plastics",Weight in kilograms,4491,4491,9900
2016,Export,USA,37.09024,-95.712891,Venezuela,6.42375,-66.58973,"Waste, parings and scrap, of plastics",Weight in kilograms,3064,3064,36570
2016,Export,USA,37.09024,-95.712891,Suriname,3.919305,-56.027783,"Waste, parings and scrap, of plastics",Weight in kilograms,3057,3057,6705
2016,Export,USA,37.09024,-95.712891,Lebanon,33.854721,35.862285,"Waste, parings and scrap, of plastics",Weight in kilograms,3023,3023,11207
2016,Export,USA,37.09024,-95.712891,Trinidad and Tobago,10.691803,-61.222503,"Waste, parings and scrap, of plastics",Weight in kilograms,2737,2737,18708
2016,Export,USA,37.09024,-95.712891,Barbados,13.193887,-59.543198,"Waste, parings and scrap, of plastics",Weight in kilograms,2348,2348,7802
2016,Export,USA,37.09024,-95.712891,Slovakia,48.669026,19.699024,"Waste, parings and scrap, of plastics",Weight in kilograms,2167,2167,17483
2016,Re-Export,USA,37.09024,-95.712891,Brazil,-14.235004,-51.92528,"Waste, parings and scrap, of plastics",Weight in kilograms,1800,1800,3582
2016,Export,USA,37.09024,-95.712891,Saint Lucia,13.909444,-60.978893,"Waste, parings and scrap, of plastics",Weight in kilograms,1500,1500,79868
2016,Export,USA,37.09024,-95.712891,Aruba,12.52111,-69.968338,"Waste, parings and scrap, of plastics",Weight in kilograms,1133,1133,7993
2016,Re-Export,USA,37.09024,-95.712891,United Arab Emirates,23.424076,53.847818,"Waste, parings and scrap, of plastics",Weight in kilograms,962,962,7571
2016,Export,USA,37.09024,-95.712891,"China, Macao SAR",22.198745,113.543873,"Waste, parings and scrap, of plastics",Weight in kilograms,649,649,12000
2016,Export,USA,37.09024,-95.712891,Belize,17.189877,-88.49765,"Waste, parings and scrap, of plastics",Weight in kilograms,610,610,2820
2016,Re-Export,USA,37.09024,-95.712891,Panama,8.537981,-80.782127,"Waste, parings and scrap, of plastics",Weight in kilograms,525,525,4103
2016,Re-Export,USA,37.09024,-95.712891,Japan,36.204824,138.252924,"Waste, parings and scrap, of plastics",Weight in kilograms,353,353,6048
2016,Export,USA,37.09024,-95.712891,Haiti,18.971187,-72.285215,"Waste, parings and scrap, of plastics",Weight in kilograms,145,145,4365
2016,Export,USA,37.09024,-95.712891,South Africa,-30.559482,22.937506,"Waste, parings and scrap, of plastics",Weight in kilograms,74,74,3840
2017,Export,USA,37.09024,-95.712891,China,35.86166,104.195397,"Waste, parings and scrap, of plastics",Weight in kilograms,570507600,570507600,203667034
